name,profile_url,overall_rating,total_reviews,industry,description,work_life_balance,salary_benefits,job_security,company_culture,skill_development,work_satisfaction,company_type,headquarters,founded,employees
Tata Consultancy Services,https://www.ambitionbox.com/overview/tcs-overview,3.8,124350,IT Services & Consulting,"Tata Consultancy Services is an IT services, consulting and business solutions organization. It is part of the Tata Group and operates in 50+ countries.",3.6,3.4,3.9,3.8,3.9,3.7,Public,"Mumbai, Maharashtra",1968,614000
Infosys,https://www.ambitionbox.com/overview/infosys-overview,3.8,76210,IT Services & Consulting,"Infosys is a global leader in next-generation digital services and consulting, enabling clients in 56 countries to navigate their digital transformation.",3.7,3.5,3.9,3.8,3.9,3.8,Public,"Bengaluru, Karnataka",1981,343000
Wipro,https://www.ambitionbox.com/overview/wipro-overview,3.7,56488,IT Services & Consulting,"Wipro Limited is a leading global information technology, consulting and business process services company. It harnesses the power of cognitive computing and hyper-automation.",3.6,3.4,3.8,3.7,3.8,3.6,Public,"Bengaluru, Karnataka",1945,263000
HCL Technologies,https://www.ambitionbox.com/overview/hcl-technologies-overview,3.8,42317,IT Services & Consulting,HCL Technologies is a next-generation global technology company that helps enterprises reimagine their businesses for the digital age.,3.7,3.6,3.9,3.8,3.9,3.7,Public,"Noida, Uttar Pradesh",1976,225944
Tech Mahindra,https://www.ambitionbox.com/overview/tech-mahindra-overview,3.6,38712,IT Services & Consulting,"Tech Mahindra represents the connected world, offering innovative and customer-centric information technology experiences, enabling Enterprises, Associates and the Society to Rise.",3.5,3.4,3.7,3.6,3.7,3.5,Public,"Pune, Maharashtra",1986,158000
Accenture,https://www.ambitionbox.com/overview/accenture-overview,4.1,51234,IT Services & Consulting,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. It combines unmatched experience with Strategy, Consulting, Interactive, Technology and Operations services.",3.9,4.0,4.2,4.1,4.2,4.0,MNC,"Bengaluru, Karnataka",1989,738000
IBM India,https://www.ambitionbox.com/overview/ibm-india-overview,4.0,32456,IT Services & Consulting,"IBM India helps clients in digital transformation journeys, providing them with consulting, technology and managed services across domains.",3.8,3.9,4.0,4.0,4.1,3.9,MNC,"Bengaluru, Karnataka",1992,170000
Capgemini,https://www.ambitionbox.com/overview/capgemini-overview,3.8,28971,IT Services & Consulting,Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology.,3.7,3.6,3.9,3.8,3.8,3.7,MNC,"Mumbai, Maharashtra",1967,350000
Cognizant,https://www.ambitionbox.com/overview/cognizant-overview,3.8,47821,IT Services & Consulting,"Cognizant is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era.",3.6,3.5,3.9,3.8,3.8,3.7,Public,"Chennai, Tamil Nadu",1994,350000
Amazon,https://www.ambitionbox.com/overview/amazon-overview,3.9,18432,Internet,"Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.",3.4,4.1,3.9,3.8,4.1,3.9,MNC,"Bengaluru, Karnataka",1994,1540000
Google,https://www.ambitionbox.com/overview/google-overview,4.4,7832,Internet,Google's mission is to organize the world's information and make it universally accessible and useful.,4.4,4.5,4.4,4.5,4.5,4.4,MNC,"Hyderabad, Telangana",1998,190711
Microsoft,https://www.ambitionbox.com/overview/microsoft-overview,4.3,11243,Software Product,Microsoft enables digital transformation for the era of an intelligent cloud and an intelligent edge. Its mission is to empower every person and every organization on the planet to achieve more.,4.2,4.3,4.3,4.3,4.4,4.2,MNC,"Hyderabad, Telangana",1975,228000
Deloitte,https://www.ambitionbox.com/overview/deloitte-overview,3.9,22341,Consulting,"Deloitte is a leading global provider of audit and assurance, consulting, financial advisory, risk advisory, tax and related services.",3.6,3.8,4.0,3.9,4.0,3.8,MNC,"Mumbai, Maharashtra",1845,457000
KPMG India,https://www.ambitionbox.com/overview/kpmg-india-overview,3.9,14567,Consulting,"KPMG India is one of India's top professional firms. It works with clients across industry sectors including banking and capital markets, consumer and retail, energy and natural resources.",3.6,3.7,3.9,3.9,4.0,3.8,MNC,"Bengaluru, Karnataka",1993,15000
